place,esite,etype,area,location,id,email,site,bu,type
Phòng Lab,,,,,HIEP-HS-FE-14,hung.le@siamcitycement.com,hiep,vn,extinguisher
Workshop,,,,,HIEP-HS-FE-15,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho số 3,,,,,HIEP-HS-FE-16,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho số 4,,,,,HIEP-HS-FE-17,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho số 5,,,,,HIEP-HS-FE-18,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho dầu,,,,,HIEP-HS-FE-19,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho cơ khí (văn phòng),,,,,HIEP-HS-FE-20,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho số 6,,,,,HIEP-HS-FE-21,hung.le@siamcitycement.com,hiep,vn,extinguisher
Phòng bảo vệ cảng,,,,,HIEP-HS-FE-22,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho phía sau kho chất thải nguy hại,,,,,HIEP-HS-FE-23,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho chất thải nguy hại,,,,,HIEP-HS-FE-24,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho chất thải nguy hại,,,,,HIEP-HS-FE-25,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho chất thải nguy hại,,,,,HIEP-HS-FE-26,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho chất thải nguy hại,,,,,HIEP-HS-FE-27,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho thạch cao,,,,,HIEP-HS-FE-28,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho bao line 1,,,,,HIEP-HS-FE-29,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho bao line 2,,,,,HIEP-HS-FE-30,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu vực đóng bao tầng trệt line 2,,,,,HIEP-HS-FE-31,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu vực đóng bao tầng 1 line 2,,,,,HIEP-HS-FE-32,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu vực đóng bao tầng 2 line 2,,,,,HIEP-HS-FE-33,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng 4 line 2,,,,,HIEP-HS-FE-34,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu vực đóng bao trệt 1 line 1,,,,,HIEP-HS-FE-35,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu vực đóng bao tầng 1 line 1,,,,,HIEP-HS-FE-36,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu vực đóng bao tầng 2 line 1,,,,,HIEP-HS-FE-37,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu vực đóng bao tầng 3 line 1,,,,,HIEP-HS-FE-38,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng 4 line 1,,,,,HIEP-HS-FE-39,hung.le@siamcitycement.com,hiep,vn,extinguisher
Nhà nghiền line 1 tầng trệt,,,,,HIEP-HS-FE-40,hung.le@siamcitycement.com,hiep,vn,extinguisher
Nhà nghiền tầng 2 line 1,,,,,HIEP-HS-FE-41,hung.le@siamcitycement.com,hiep,vn,extinguisher
Nhà nghiền tầng 3 line 1,,,,,HIEP-HS-FE-42,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng trệt line 1,,,,,HIEP-HS-FE-43,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng 1 line 1,,,,,HIEP-HS-FE-44,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng 3 line 1,,,,,HIEP-HS-FE-45,hung.le@siamcitycement.com,hiep,vn,extinguisher
Trạm điện 5-1,,,,,HIEP-HS-FE-46,hung.le@siamcitycement.com,hiep,vn,extinguisher
Phòng máy nén khí,,,,,HIEP-HS-FE-47,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền line 2 tầng trệt,,,,,HIEP-HS-FE-48,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng 1 line 2,,,,,HIEP-HS-FE-49,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng 3 line 2,,,,,HIEP-HS-FE-50,hung.le@siamcitycement.com,hiep,vn,extinguisher
Nhà nghiền tầng 1 line 2,,,,,HIEP-HS-FE-51,hung.le@siamcitycement.com,hiep,vn,extinguisher
Nhà nghiền tầng 2 line 2,,,,,HIEP-HS-FE-52,hung.le@siamcitycement.com,hiep,vn,extinguisher
Nhà nghiền tầng 3 line 2,,,,,HIEP-HS-FE-53,hung.le@siamcitycement.com,hiep,vn,extinguisher
Đáy clinker silo 1,,,,,HIEP-HS-FE-54,hung.le@siamcitycement.com,hiep,vn,extinguisher
Đáy clinker silo 2,,,,,HIEP-HS-FE-55,hung.le@siamcitycement.com,hiep,vn,extinguisher
Đính cememt silo,,,,,HIEP-HS-FE-56,hung.le@siamcitycement.com,hiep,vn,extinguisher
Trạm điện 661,,,,,HIEP-HS-FE-57,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu vực đóng bao tầng 3 line 2,,,,,HIEP-HS-FE-58,hung.le@siamcitycement.com,hiep,vn,extinguisher
Trạm máy phát điện,,,,,HIEP-HS-FE-59,hung.le@siamcitycement.com,hiep,vn,extinguisher
Trạm cân LOG,,,,,HIEP-HS-FE-60,hung.le@siamcitycement.com,hiep,vn,extinguisher
Trạm điện J51,,,,,HIEP-HS-FE-61,hung.le@siamcitycement.com,hiep,vn,extinguisher
Phòng training an toàn,,,,,HIEP-HS-FE-62,hung.le@siamcitycement.com,hiep,vn,extinguisher
Pantry,,,,,HIEP-HS-FE-63,hung.le@siamcitycement.com,hiep,vn,extinguisher
Xe đẩy Oxy-Ace,,,,,HIEP-HS-FE-64,hung.le@siamcitycement.com,hiep,vn,extinguisher
Xe đẩy Oxy-Ace,,,,,HIEP-HS-FE-65,hung.le@siamcitycement.com,hiep,vn,extinguisher
Xe đẩy Oxy-Ace,,,,,HIEP-HS-FE-66,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng 2 line 1,,,,,HIEP-HS-FE-67,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng 2 line 2,,,,,HIEP-HS-FE-68,hung.le@siamcitycement.com,hiep,vn,extinguisher
Trạm điện,,,H&S,,CATL-FEX_MNF_01,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Cổng bảo vệ 001,,,H&S,,CATL-FEX_MNF_02,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Cổng bảo vệ 002,,,H&S,,CATL-FEX_MNF_03,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Bãi xe 001,,,H&S,,CATL-FEX_MNF_04,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Bãi xe 002,,,H&S,,CATL-FEX_MNF_05,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Bãi xe 003,,,H&S,,CATL-FEX_MNF_06,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Canteen 001,,,H&S,,CATL-FEX_MNF_07,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Canteen 002,,,H&S,,CATL-FEX_MNF_08,thuan.luu@siamcitycement.com,catl,vn,extinguisher
"Y tế, locker 001",,,H&S,,CATL-FEX_MNF_09,thuan.luu@siamcitycement.com,catl,vn,extinguisher
"Y tế, locker 002",,,H&S,,CATL-FEX_MNF_10,thuan.luu@siamcitycement.com,catl,vn,extinguisher
"Y tế, locker 003",,,H&S,,CATL-FEX_MNF_11,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Admin Room 01,,,H&S,,CATL-FEX_MNF_12,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Admin Room 02,,,H&S,,CATL-FEX_MNF_13,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Admin Room 03,,,H&S,,CATL-FEX_MNF_14,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Admin Room 04,,,H&S,,CATL-FEX_MNF_15,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Admin Room 05,,,H&S,,CATL-FEX_MNF_16,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Phòng Lab 01,,,H&S,,CATL-FEX_MNF_17,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Phòng Lab 02,,,AIC,,CATL-FEX_MNF_18,thinh.le@siamcitycement.com,catl,vn,extinguisher
Phòng Lab 03,,,AIC,,CATL-FEX_MNF_19,thinh.le@siamcitycement.com,catl,vn,extinguisher
Phòng QA 01,,,QA,,CATL-FEX_MNF_20,thuy.thai@siamcitycement.com,catl,vn,extinguisher
Phòng QA 02,,,QA,,CATL-FEX_MNF_21,thuy.thai@siamcitycement.com,catl,vn,extinguisher
CCR 01,,,Production,,CATL-FEX_MNF_22,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
CCR 02,,,Production,,CATL-FEX_MNF_23,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
CCR 03,,,Production,,CATL-FEX_MNF_24,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
CCR 04,,,Production,,CATL-FEX_MNF_25,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Đóng bao 01,,,Production,,CATL-FEX_MNF_26,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Đóng bao 02,,,Production,,CATL-FEX_MNF_27,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Đóng bao 03,,,Production,,CATL-FEX_MNF_28,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Đóng bao 04,,,Production,,CATL-FEX_MNF_29,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Kho bao 01,,,Production,,CATL-FEX_MNF_30,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Kho bao 02,,,Production,,CATL-FEX_MNF_31,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Kho bao 03,,,Production,,CATL-FEX_MNF_32,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Kho bao 04,,,Production,,CATL-FEX_MNF_33,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Kho bao 05,,,Production,,CATL-FEX_MNF_34,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Kho bao 06,,,Production,,CATL-FEX_MNF_35,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
P. điện silo 1,,,EMaintenance _ Automation,,CATL-FEX_MNF_36,thinh.tran@siamcitycement.com,catl,vn,extinguisher
P. điện silo 2,,,EMaintenance _ Automation,,CATL-FEX_MNF_37,thinh.tran@siamcitycement.com,catl,vn,extinguisher
P. điện silo 3,,,EMaintenance _ Automation,,CATL-FEX_MNF_38,thinh.tran@siamcitycement.com,catl,vn,extinguisher
P. điện silo 4,,,EMaintenance _ Automation,,CATL-FEX_MNF_39,thinh.tran@siamcitycement.com,catl,vn,extinguisher
Máy nghiền 1,,,Production,,CATL-FEX_MNF_40,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Máy nghiền 2,,,Production,,CATL-FEX_MNF_41,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Máy nghiền 3,,,Production,,CATL-FEX_MNF_42,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Máy nghiền 4,,,Production,,CATL-FEX_MNF_43,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Máy nghiền 5,,,Production,,CATL-FEX_MNF_44,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Máy nghiền 6,,,Production,,CATL-FEX_MNF_45,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Máy nghiền 7,,,Production,,CATL-FEX_MNF_46,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Máy nghiền 8,,,Production,,CATL-FEX_MNF_47,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Kho trấu 1,,,Production,,CATL-FEX_MNF_48,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Kho trấu 2,,,Production,,CATL-FEX_MNF_49,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Kho trấu 3,,,Production,,CATL-FEX_MNF_50,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Cảng trấu 1,,,Production,,CATL-FEX_MNF_51,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Cảng trấu 2,,,Production,,CATL-FEX_MNF_52,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
"Kho đá, crusher 1",,,Production,,CATL-FEX_MNF_53,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
"Kho đá, crusher 2",,,Production,,CATL-FEX_MNF_54,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
"Kho đá, crusher 3",,,Production,,CATL-FEX_MNF_55,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
"Kho đá, crusher 4",,,Production,,CATL-FEX_MNF_56,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
"Kho đá, crusher 5",,,Production,,CATL-FEX_MNF_57,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Cầu cảng 1,,,Logistic,,CATL-FEX_MNF_58,tri.le@siamcitycement.com,catl,vn,extinguisher
Chân silo 01,,,Production,,CATL-FEX_MNF_61,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Chân silo 02,,,Production,,CATL-FEX_MNF_62,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Chân silo 03,,,Production,,CATL-FEX_MNF_63,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Chân silo 04,,,Production,,CATL-FEX_MNF_64,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Chân silo 05,,,Production,,CATL-FEX_MNF_65,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Chân silo 06,,,Production,,CATL-FEX_MNF_66,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Chân silo 07,,,Production,,CATL-FEX_MNF_67,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Chân silo 08,,,Production,,CATL-FEX_MNF_68,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Chân silo 09,,,Production,,CATL-FEX_MNF_69,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
MT35 _ 35Kg 01,,,E_Maintenance,,CATL-FEX_MNF_70,thuan.luu@siamcitycement.com,catl,vn,extinguisher
MT35 _ 35Kg 02,,,E_Maintenance,,CATL-FEX_MNF_71,thuan.luu@siamcitycement.com,catl,vn,extinguisher
Kho dầu 3,,,H&S,,CATL-FEX_MNF_72,thuan.luu@siamcitycement.com,catl,vn,extinguisher
35Kg - Máy phát điện,,,E_Maintenance,,CATL-FEX_MNF_73,vinh.truong@siamcitycement.com,catl,vn,extinguisher
Máy phát điện 1,,,E_Maintenance,,CATL-FEX_MNF_74,vinh.truong@siamcitycement.com,catl,vn,extinguisher
Máy phát điện 2,,,E_Maintenance,,CATL-FEX_MNF_75,vinh.truong@siamcitycement.com,catl,vn,extinguisher
Máy phát điện 3,,,E_Maintenance,,CATL-FEX_MNF_76,vinh.truong@siamcitycement.com,catl,vn,extinguisher
MT35 _ 35Kg 03,,,E_Maintenance,,CATL-FEX_MNF_77,vinh.truong@siamcitycement.com,catl,vn,extinguisher
Trạm điện 002,,,E_Maintenance,,CATL-FEX_MNF_78,vinh.truong@siamcitycement.com,catl,vn,extinguisher
Trạm điện 003,,,E_Maintenance,,CATL-FEX_MNF_79,vinh.truong@siamcitycement.com,catl,vn,extinguisher
Kho Oxy-Ace 001,,,Warehouse,,CATL-FEX_MNF_83,tiep.tran@siamcitycement.com,catl,vn,extinguisher
Kho nhớt 001,,,Warehouse,,CATL-FEX_MNF_85,tiep.tran@siamcitycement.com,catl,vn,extinguisher
Kho TBL 001,,,Warehouse,,CATL-FEX_MNF_88,tiep.tran@siamcitycement.com,catl,vn,extinguisher
Kho TBL 002,,,Warehouse,,CATL-FEX_MNF_89,tiep.tran@siamcitycement.com,catl,vn,extinguisher
Kho CK 001,,,Warehouse,,CATL-FEX_MNF_92,tiep.tran@siamcitycement.com,catl,vn,extinguisher
Kho TBĐ 001,,,Warehouse,,CATL-FEX_MNF_95,tiep.tran@siamcitycement.com,catl,vn,extinguisher
Kho TBĐ 002,,,Warehouse,,CATL-FEX_MNF_96,tiep.tran@siamcitycement.com,catl,vn,extinguisher
WS Office 001,,,E_Maintenance,,CATL-FEX_MNF_102,vinh.truong@siamcitycement.com,catl,vn,extinguisher
WS Office 002,,,E_Maintenance,,CATL-FEX_MNF_103,vinh.truong@siamcitycement.com,catl,vn,extinguisher
WS Office 003,,,E_Maintenance,,CATL-FEX_MNF_104,vinh.truong@siamcitycement.com,catl,vn,extinguisher
"Hầm cáp, p.Maint 01",,,E_Maintenance,,CATL-FEX_MNF_105,vinh.truong@siamcitycement.com,catl,vn,extinguisher
"Hầm cáp, p.Maint 02",,,E_Maintenance,,CATL-FEX_MNF_106,vinh.truong@siamcitycement.com,catl,vn,extinguisher
"Hầm cáp, p.Maint 03",,,E_Maintenance,,CATL-FEX_MNF_107,vinh.truong@siamcitycement.com,catl,vn,extinguisher
"Hầm cáp, p.Maint 04",,,E_Maintenance,,CATL-FEX_MNF_108,vinh.truong@siamcitycement.com,catl,vn,extinguisher
Kho rác 1,,,H&S,,CATL-FEX_MNF_115,ly.huu.luong@siamcitycement.com,catl,vn,extinguisher
Hotwork 1,,,M_Maintenance,,CATL-FEX_MNF_118,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Hotwork 2,,,M_Maintenance,,CATL-FEX_MNF_119,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Trạm cân 001,,,Logistic,,CATL-FEX_LOG_001,tri.le@siamcitycement.com,catl,vn,extinguisher
Trạm cân 002,,,Logistic,,CATL-FEX_LOG_002,tri.le@siamcitycement.com,catl,vn,extinguisher
Line 01,,,Logistic,,CATL-FEX_LOG_003,tri.le@siamcitycement.com,catl,vn,extinguisher
Line 02,,,Logistic,,CATL-FEX_LOG_004,tri.le@siamcitycement.com,catl,vn,extinguisher
Line 03,,,Logistic,,CATL-FEX_LOG_005,tri.le@siamcitycement.com,catl,vn,extinguisher
Line 04,,,Logistic,,CATL-FEX_LOG_006,tri.le@siamcitycement.com,catl,vn,extinguisher
Line 05,,,Logistic,,CATL-FEX_LOG_007,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 1,,,Logistic,,CATL-FEX_LOG_013,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 2,,,Logistic,,CATL-FEX_LOG_014,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 3,,,Logistic,,CATL-FEX_LOG_015,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 4,,,Logistic,,CATL-FEX_LOG_016,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 5,,,Logistic,,CATL-FEX_LOG_017,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 6,,,Logistic,,CATL-FEX_LOG_018,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 7,,,Logistic,,CATL-FEX_LOG_019,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 8,,,Logistic,,CATL-FEX_LOG_020,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 9,,,Logistic,,CATL-FEX_LOG_021,tri.le@siamcitycement.com,catl,vn,extinguisher
Kho sling 10,,,Logistic,,CATL-FEX_LOG_022,tri.le@siamcitycement.com,catl,vn,extinguisher
Canteen cũ,,,Conwood,,CATL-FEX_LOG_023,quan.duong@siamcitycement.com,catl,vn,extinguisher
ECO LAB,,,Eco Lab,,CATL-FEX_ECO_001,trang.huynh@siamcitycement.com,catl,vn,extinguisher
ECO LAB,,,Eco Lab,,CATL-FEX_ECO_002,trang.huynh@siamcitycement.com,catl,vn,extinguisher
Kho nguy hại 1,,,Eco Ops,,CATL-FEX_ECO_005,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho nguy hại 1,,,Eco Ops,,CATL-FEX_ECO_006,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho nguy hại 1,,,Eco Ops,,CATL-FEX_ECO_007,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho nguy hại 2,,,Eco Ops,,CATL-FEX_ECO_011,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho nguy hại 2,,,Eco Ops,,CATL-FEX_ECO_012,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho nguy hại 2,,,Eco Ops,,CATL-FEX_ECO_013,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho Không nguy hại (số 03),,,Eco Ops,,CATL-FEX_ECO_017,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho Không nguy hại (số 03),,,Eco Ops,,CATL-FEX_ECO_018,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho Không nguy hại (số 03),,,Eco Ops,,CATL-FEX_ECO_019,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho Không nguy hại (số 03),,,Eco Ops,,CATL-FEX_ECO_020,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho Không nguy hại (số 03),,,Eco Ops,,CATL-FEX_ECO_021,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho Không nguy hại (số 03),,,Eco Ops,,CATL-FEX_ECO_022,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Kho bao bì_Empty package WH-01,,,Eco Ops,,CATL-FEX_ECO_029,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Container LAB_01,,,Eco Lab,,CATL-FEX_ECO_031,trang.huynh@siamcitycement.com,catl,vn,extinguisher
Container LAB_02,,,Eco Lab,,CATL-FEX_ECO_032,trang.huynh@siamcitycement.com,catl,vn,extinguisher
Xe nâng Quốc Trí (QT01),,,Eco Ops,,CATL-FEX_ECO_038,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Xe nâng Việt Long (VL01),,,Eco Ops,,CATL-FEX_ECO_039,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Xe Cẩu_FFT 50H-08353,,,Eco Ops,,CATL-FEX_ECO_040,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Xe Cẩu VL_FFT VL crane 01,,,Eco Ops,,CATL-FEX_ECO_041,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Xe tải VL 1_FFT VL Truck 01,,,Eco Ops,,CATL-FEX_ECO_042,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Xe tải VL 2,,,Eco Ops,,CATL-FEX_ECO_044,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Xe tải 60C-37390,,,Eco Log,,CATL-FEX_60C-37390,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 60P-2673,,,Eco Log,,CATL-FEX_60P-2673,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 60H-10759,,,Eco Log,,CATL-FEX_60H-10759,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 50H-22849,,,Eco Log,,CATL-FEX_50H-22849,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 60H-11212,,,Eco Log,,CATL-FEX_60H-11212,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 60H-08131,,,Eco Log,,CATL-FEX_60H-08131,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 60H-12345,,,Eco Log,,CATL-FEX_60H-12345,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 50H-35466,,,Eco Log,,CATL-FEX_50H-35466,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 50LD-13631,,,Eco Log,,CATL-FEX_50LD-13631,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 52LD-5618,,,Eco Log,,CATL-FEX_52LD-5618,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 52LD-5689,,,Eco Log,,CATL-FEX_52LD-5689,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 52LD-3944,,,Eco Log,,CATL-FEX_52LD-3944,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 50LD-03445,,,Eco Log,,CATL-FEX_50LD-03445,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 50LD-01473,,,Eco Log,,CATL-FEX_50LD-01473,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 50LD-03476,,,Eco Log,,CATL-FEX_50LD-03476,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 51D-823.88,,,Eco Log,,CATL-FEX_51D-823.88,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Kho Conwood,,,Conwood,,CATL-FEX_CW_001,quan.duong@siamcitycement.com,catl,vn,extinguisher
Kho Conwood,,,Conwood,,CATL-FEX_CW_002,quan.duong@siamcitycement.com,catl,vn,extinguisher
Kho Conwood,,,Conwood,,CATL-FEX_CW_003,quan.duong@siamcitycement.com,catl,vn,extinguisher
Ecocycle lưu động,,,Eco Ops,,CATL-FEX_ECO_Mobile01,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Ecocycle lưu động,,,Eco Ops,,CATL-FEX_ECO_Mobile02,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Ecocycle lưu động,,,Eco Ops,,CATL-FEX_ECO_Mobile03,nghiem.vu@siamcitycement.com,catl,vn,extinguisher
Xe tải 50H.08679,,,Eco Log,,CATL-FEX_50H.08679,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 50H.68411,,,Eco Log,,CATL-FEX_50H.68411,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 50H.30299,,,Eco Log,,CATL-FEX_50H.30299,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Xe tải 50H.43941,,,Eco Log,,CATL-FEX_50H.43941,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
Đóng bao 05,,,Production,,CATL-FEX_MNF_59,nam.thanh.nguyen@siamcitycement.com,catl,vn,extinguisher
Phòng IT,,,IT,,CATL-FEX_MNF_60,tien.vu@siamcitycement.com,catl,vn,extinguisher
Xe tải 60H-20952,,,Eco Log,,CATL-FEX_60H_20952,duy.thien.le@siamcitycement.com,catl,vn,extinguisher
,,,,,HONC-PRO-PPE-HZ-03,vinh.van.nguyen@siamcitycement.com,honc,vn,thermal
,,,,,HONC-PRO-PPE-HZ-04,ky.ly@siamcitycement.com,honc,vn,thermal
,,,,,HONC-PRO-PPE-HZ-01,thien.pham@siamcitycement.com,honc,vn,thermal
,,,,,HONC-PRO-PPE-HZ-02,hoang.thai@siamcitycement.com,honc,vn,thermal
Khu Hành Chính,,,,Khu Hành Chính,HONC-FE-FE-HS-01-C-06-B-06,thao.duong@siamcitycement.com,honc,vn,extinguisher
Khu Hành Chính,,,,Khu Hành Chính,HONC-FE-FE-HS-01-C-07-B-07,thao.duong@siamcitycement.com,honc,vn,extinguisher
Canteen,,,,Canteen,HONC-FE-FE-HS-01-C-11-B-11,tan.ton@siamcitycement.com,honc,vn,extinguisher
CCR,,,,CCR,HONC-FE-FE-HS-01-B-40-41,thai.truong@siamcitycement.com,honc,vn,extinguisher
Villa 1- 8,,,,Villa 1- 8,HONC-FE-FE-HE-07-06,tan.ton@siamcitycement.com,honc,vn,extinguisher
Club House,,,,Club House,HONC-FE-FE-HE-09-B-10,tan.ton@siamcitycement.com,honc,vn,extinguisher
